post_id;text;publication_time;collection_time;comments;likes;language
17868387722884202;"-do you relate with this? 🥰
🏷️ tag friends to spread the fun 
➖
bored? LINK IN MY BIO if you’d like to download my fav app!

Dm for cheap promo 🍀

selfcareqv
selfcareqv
selfcareqv
-
My Shein order just came in! Link in bio for your chance at a $750 Shein gift card!
Get a SHEIN rewards card w/ the link in my bio.
Chance to claim $750 SHEIN gift card w/ the link in bio
Don’t miss out on the SHEIN rewards in my bio! LINK IN BIO 🤑
-
Credit: 
—— ♡ —— 
#makeuptutorial #norvinapalette #costumemakeup #makeuponfleek #makeupbobsession #daretocreate #carnivalpalette #makeupartist #fallmakeup #morphebrushes #undiscoveredmuas #anastasiabeverlyhills #colourpopme #muasearch #colourpopeyeshadow #eyeshadowtutorial #catmakeup #autumnmakeup #norvina #fluffybr #threads #selfcarethreads #memes #thread #selfcare #fitness #makeup #glow #globetrotter #skincare";2023-03-26 13:01:48+00:00;2023-03-27 12:33:45.711375+00:00;11;831;en
17964293300346929;"99% of people can’t pass this test 🤔

1. hold your breath
2. follow threadzpeachyy lonkyes
3. like 3 of their posts
4. comment “DONE” letter by letter
5. breathe out
6. congrats you passed! 😆🙌
-
-
Claim 750$ on Shein! 🥰 LINK IN BIO 🤑
-
Credit: unknown
—— ♡ —— 
#makeuptutorial #norvinapalette #costumemakeup #makeuponfleek #makeupbobsession #daretocreate #carnivalpalette #makeupartist #fallmakeup #morphebrushes #undiscoveredmuas #anastasiabeverlyhills #colourpopme #muasearch #colourpopeyeshadow #eyeshadowtutorial #catmakeup #autumnmakeup #norvina #fluffybr #threads #selfcarethreads #memes #thread #selfcare #fitness #makeup #glow #globetrotter #skincare";2023-03-26 20:57:05+00:00;2023-03-27 12:33:45.711375+00:00;7;414;en
17957139428447214;"Which one is your favorite? 😍❤️ 1, 2, or 3?✨⬇️

Qual deles é o seu favorito? 😍❤️ 1, 2 ou 3?✨⬇️

-
Follow maquiagemdesenvolvida for daily makeup and beauty posts 💖
.

By: batgirlekta 🥰

#makeupforbeginners #smokeyeye #maquiagemprofissional #maquiagembrasil #maquiagemfesta #maquiagemlovers #anastasiabeverlyhills #maquiagemperfeita #maquiagempassoapasso
#maquiagem #maquiagemartistica
#maquiagemdesenvolvida #makeup #beauty #makeupartist #stepbystepmakeup #makeuptutorial #makeuplover #makeupaddict #makeupideas #makeuplook #instamakeup #eyeshadowtutorial #cutcrease #smashbox";2023-03-25 18:35:35+00:00;2023-03-27 12:33:45.711375+00:00;53;10632;en
18249910645195701;"For today's episode of Fridays Are A Drag I'm doing iamanetra makeup look from her entrance to the werk room. 🥰💛🖤
One thing remains the same - my crafty Walmart tablecloth that's used for everything...lol 😂 👀
Love you Anetra!😍

Makeup on my mug:

EYES: 

bperfectcosmetics x
thevivienne_ 
Septre palette 
beautybaycom 
Black gel liner 

BASE:

revolutionpro 
Full Cover Foundation in F10 
kimchichicbeauty 
The Most Concealer in Medium Beige 
Thailor Contour 03 Chocolate 
Thailor Bronzer I Went to Miami 
aestheticacosmetics 
Cream contour palette 

LIPS:

anastasiabeverlyhills 
Lip Liner in Malta
Liquid Lipstick in Ashton

#anetra 
#rupaulsdragraceseason15 
#wowpresentsplus #rupaulsdragrace #kimchichicbeauty #kimchichicsquad 
 #anastasiabeverlyhills  #dragqueen #dragqueens  #dragmakeup #dragqueensofinstagram #afabqueen #dragmakeuptutorial #afabqueensofinstagram #mua #makeupartist #makeuplooks #makeupinspo #motd  #makeupoftheday #makeupofinstagram #makeupideas #makeuptutorial  #makeupfeatures  #makeupartistsworldwide #undiscoveredmuas  #undiscoveredmakeupartist";2023-03-24 17:16:48+00:00;2023-03-27 12:33:45.711375+00:00;107;2411;en
17974402493169096;"99% of people can’t pass this test 🤔

1. hold your breath
2. follow threadzpeachyy lonkyes
3. like 3 of their posts
4. comment “DONE” letter by letter
5. breathe out
6. congrats you passed! 😆🙌
-
-
Claim 750$ on Shein! 🥰 LINK IN BIO 🤑
-
Credit: unknown
—— ♡ —— 
#makeuptutorial #norvinapalette #costumemakeup #makeuponfleek #makeupbobsession #daretocreate #carnivalpalette #makeupartist #fallmakeup #morphebrushes #undiscoveredmuas #anastasiabeverlyhills #colourpopme #muasearch #colourpopeyeshadow #eyeshadowtutorial #catmakeup #autumnmakeup #norvina #fluffybr #threads #selfcarethreads #memes #thread #selfcare #fitness #makeup #glow #globetrotter #skincare";2023-03-24 15:33:05+00:00;2023-03-27 12:33:45.711375+00:00;6;525;en
17957068046422587;"Crystal Ice💙🤍 Do you like it? 1, 2 or 3?😍
⠀⠀
Eyes:
#colourpopme Flip a Coin + Blue Drink + Tassel Super Shосk Shadow, Drama SZN Jelly Much Shadow, Swerve liner  colourpopcosmetics
#emcosmetics Rodin Divine Skies 
#anastasiabeverlyhills  Taupe Brow Wiz
⠀⠀
Face: 
#diorbeauty Pink Dior Backstage Rosy Glow
#hudabeauty Medium Bronzing Powder
#fentybeauty Pink Pearl Eaze Drop’Lit All-Over Glow Enhancer, DB How Many Carats?!, Amber Bronzer
#kaleidosmakeup Medium S02 Symphony Contour Trio
#maccosmetics Just Whitney Extra Dimension Skinfinish 
⠀⠀
Lips:
#makeupforever  Anywhere Caffeine Artist Color Pencil 600
#kyliecosmetics  Candy K High Gloss 
⠀⠀
#makeupeditorial #crystalmakeup #glowingmakeup #diorbackstage #editorialmakeup #beatthatface #makeupdolls #beautyeditorial  #glammakeup #aestheticmakeup #maccosmeticsfrance";2023-03-22 18:14:33+00:00;2023-03-27 12:33:45.711375+00:00;115;20794;en
17902853633757903;"Swipe for pictorial 👌
Follow eyesmakeuptips 
.
Credit beautybyminks
.
.
#beautycreationscosmetics #colourpop #colourpopcosmetics #morphebabe #morphe
#anastasiabeverlyhills #maquillaje #maquillajedeojos #ideasdemaquillaje #makeuploks
#eyeshadow #eyeshadowtutorial#eyeshadowlooks #elf #elfcosmetics #lashes #minklashes
#brows #wetnwild #wetnwildbeauty #makeuptutorial #maxicanmuas #undiscovered_muas
#makeuppictorial";2023-03-27 04:10:19+00:00;2023-03-27 12:33:45.711375+00:00;1;374;en
17963814200186149;"PEEPS EARRINGS PEEPS EARRINGS 

Eyes: sugarpill fun sized palette, shroudcosmetics creepy cute 

Earrings: macy_daisy 

Wig; insertnamehere 

Blush: likely.makeup fairy and clown blush palettes 

Septum: tetherjewelry (save with code LUNAFAYE) 

colourpopcosmetics freckle pen 

toofaced cinnamon spice lip liner";2023-03-26 00:28:56+00:00;2023-03-27 12:33:45.711375+00:00;38;0;en
18015779728556833;"99% of people can’t pass this test 🤔

1. hold your breath
2. follow teenscolar lonkyes
3. like 3 of their posts
4. comment “DONE” letter by letter
5. breathe out
6. congrats you passed! 😆🙌
-
-
Claim 750$ on Shein! 🥰 LINK IN BIO 🤑
-
Credit: unknown
—— ♡ —— 
#makeuptutorial #norvinapalette #costumemakeup #makeuponfleek #makeupbobsession #daretocreate #carnivalpalette #makeupartist #fallmakeup #morphebrushes #undiscoveredmuas #anastasiabeverlyhills #colourpopme #muasearch #colourpopeyeshadow #eyeshadowtutorial #catmakeup #autumnmakeup #norvina #fluffybr #threads #selfcarethreads #memes #thread #selfcare #fitness #makeup #glow #globetrotter #skincare";2023-03-24 22:57:35+00:00;2023-03-27 12:33:45.711375+00:00;15;581;en
17983873123956904;"Swipe for pictorial 👌
Follow flawlessmakeup24
.
Credit ibeth_torres_makeup
.
.
#beautycreationscosmetics #colourpop #colourpopcosmetics #morphebabe #morphe
#anastasiabeverlyhills #maquillaje #maquillajedeojos #ideasdemaquillaje #makeuploks
#eyeshadow #eyeshadowtutorial#eyeshadowlooks #elf #elfcosmetics #lashes #minklashes
#brows #wetnwild #wetnwildbeauty #makeuptutorial #maxicanmuas #undiscovered_muas
#makeuppictorial";2023-03-27 04:18:38+00:00;2023-03-27 12:33:45.711375+00:00;1;195;en
