post_id;text;publication_time;collection_time;comments;likes;language
17873178989872455;"𓂃𓈒𓏸 
こんにちは！ あざモテchannelです♥️ 
このchannelでは、あざとい大人の本気のモテ情報をシェアしています♥️ 

❤︎素敵な彼が欲しい！ 
❤︎自己肯定感を上げたい！ 
↑に当てはまる方は是非フォローしてね❤︎ 
→ aza_mote.gram
 ※ストーリー限定の㊙︎情報も随時公開中♥️

˙⋆*─────────────* ⋆˙
手ぶらでお出かけできる、チェーンウォレット特集です💗
可愛いものばかりです🥺♥️♥️♥️

photo by
→ hinanoa14 
Special thanks♥️
˙⋆*─────────────* ⋆˙

#シャネル#ヴァレクストラ#セリーヌ#ディオール#CHANEL#CELINE#Dior#ヴァレンティノ#サンローラン#フェンディ#ハイブランド#チェーンウォレット";2023-04-25 10:46:58+00:00;2023-04-26 09:01:33.588961+00:00;0;311;ja
17976458660186440;"her barbie era has officially begun - margot robbie in prada pink gingham bralette and skirt with louboutinworld pink heels and chanelofficial anklet. the look is similar to her outfit in the barbiethemovie which calls back to judy garland’s blue gingham outfit in “the wizard of oz”.
.
.
.
.
.
#margotrobbie #prada #chanel #fashion #womenswear #rtw #runway #redcarpet #barbie #barbiethemovie #details";2023-04-25 21:09:35+00:00;2023-04-26 09:01:33.588961+00:00;6;320;en
17905100561768869;"ハーゲンダッツ🍨
～本日、とろけ曜日。～

 #小松菜奈  #小松菜奈ちゃん  #小松菜奈ちゃんファンと繋がりたい  #小松菜奈の毎日が幸せで溢れますように  #小松菜奈好きな人と繋がりたい  #小松菜奈ファンと繋がりたい  #小松菜奈可愛い  #小松菜奈好きと繋がりたい  #小松菜奈ちゃんのファンと繋がりたい  #小松菜奈ちゃん好きな人と繋がりたい  #すだなな結婚  #小松菜奈の毎日が笑顔で溢れますように  #こまつなな  #こまつななちゃん  #chanel  #菜奈  #konichan  #konichan7  #konichans  #komatunana  #komatuna  #komatsunana  #nanakomatsu  #ハーゲンダッツ";2023-04-24 10:57:34+00:00;2023-04-26 09:01:33.588961+00:00;1;524;ja
17968692782367453;"230426 • willowsmith IG Post Being With JENNIE [jennierubyjane], #ROSÉ & #LISA

- 
#JENNIE #JISOO #블랙핑크 #JENSOO #JISOOFASHION  #지수 #제니 #DIOR #CARTIER #CHANEL #JENNIEFASHION #BLACKPINK #GENTLEMONSTER #BLINK #블링크 #JISOOSTYLE #JENNIESTYLE #SNOWDROP #THEIDOL #BORNPINK #BLACKPINKJENNIE #BLACKPINKJISOO #젠수  #FOUNDRAE #YEAHYEAHYEAH #ACNESTUDIOS #JACQUIEAICHE";2023-04-26 06:38:48+00:00;2023-04-26 09:01:33.588961+00:00;0;0;en
17955749627588135;"If you like big shoulders you’ve come to the right place. 

Jacket and jeans sourceunknown_official 

(accessories are tagged)

#streetstyle #streetstyleluxe #streetfashion #streetfashionstyle #streetlook #ootd #ootdfashion #wardrobeessentials #chanel #minimalchic #minimalstyle #springfashion #springstyle #denimstyle #oversized";2023-04-25 05:52:27+00:00;2023-04-26 09:01:33.588961+00:00;150;2762;en
17933200421658362;"No captions 💋

.
.
.
.
.
#BEOMGYU #HYBE #CREATOR #txtbeomgyu  #minisode2 #Thursdays_Child #gbgb #txt_bighit #tomorrowxtogether  #txttodo #txt_world_tour #thenamechapter #temptation #sugarrushride #trend #chanel #trending #trendingreels #reels #happyfools #happybirthday #txtmagic #act_sweet_mirage #korea #korean";2023-04-25 09:11:56+00:00;2023-04-26 09:01:33.588961+00:00;4;0;en
17974625876075988;"Romy et David ❤️🌹💖😍😍😍
*
*
#romyschneider #romy_schneider1938 
#actress #legend #claudesautet 
#frenchicon # 
#frenchmovie #france 
#oldcinema #chanel #forever 
#vintageactress #delon
#beautiful #icons #frenchlove 
#moviestars #beautifulactress 
#beautifulwomen #germanactress #acteurfrançais
#legend #alaindelon
#frenchmovie #alain #french
#frenchactress #cinemafrancais
#frenchcinema #cinephile";2023-04-26 05:13:25+00:00;2023-04-26 09:01:33.588961+00:00;31;631;fr
17995188019859281;"今回は、『ハイブランド 白アイテム』をご紹介します✨
　
気になった商品や欲しいアイテムなどがあればぜひ「コメント」してみてください🌼

これからも人気ブランドの新作アイテムをピックアップして参りますのでお楽しみに❣️
　
また、なにかご相談や質問などありましたらいつでも「DM」待ってます♡
　
これからも役立つコスメ情報をたくさん発信していくので皆さん忘れずにフォロー&いいねをお願いします🌷

#お洒落さんと繋がりたい #自分へのご褒美  #可愛い #可愛いものが好き #大人可愛い #ヴィトンバッグ #シャネルバッグ #プラダ #プラダバッグ #セリーヌ #セリーヌバッグ #ロエベ #ロエベバッグ #ハイブランド #ハイブランドバッグ #バッグ #バッグコーデ #ショルダーバッグ #ミニバッグ #ホワイト #ホワイトコーデ コーデ #可愛いバッグ #ブレスレット #アクセサリー #prada #chanel #louisvuitton #miumiu #celine #loewe";2023-04-25 10:47:08+00:00;2023-04-26 09:01:33.588961+00:00;0;282;ja
17961459161520482;"Chance Eau Tendre EdP - Chanel
Which Chanel is your favourite?🙋🏼‍♀️ 

This one was the very first perfume I tried and it's been on my wishlist ever since. I am so happy that I finally added it to my collection🥰. 

Note are: quince, grapefruit, jasmin, rose 

This perfume is so uplifting and in my opinion it is very hard not liking it🍊. It starts with a fruity sweet quince and grapefruit combo (don't get me wrong, yes it is sweet and fruity but still upgrown)🌹. 

During the drydown the flowers come through. Although a rose is listed, it is definitely not dominant at all☀️. 

I love the drydown of Chance Eau Tendre! It smells so fresh and clean with hints of flowers and quince and it actually has great lasting power🤍. I can still smell it on my clothes the next day🌸. 

It is a great everyday scent and can be worn all year round for any occassion🥰. 

I also love Gabrielle Essence from chanel.beauty

#welovecoco #perfumephotography #perfume #parfum #perfumecollection #perfumerecommendations #perfumereview #frangrance #fragrances #parfüm #scent #productphotography #chanel";2023-04-25 10:11:00+00:00;2023-04-26 09:01:33.588961+00:00;83;300;en
17969105795350928;"So grow up. Stop fucking other women. Just fuck me.

#wallpaper #art #flyart #pinterest #carriebradshaw #samanthajones #sexandcityquotes #sexandcity #fashion #duvarkağıdı #vogue #dior #chanel #charlotte #miranda #followforfollowback #sexandthecityquotes #sexandthecitymemes #mood #quarantine #satc #reklam #reklamver #reklamyayını #advertising #advertisement";2023-04-25 18:29:00+00:00;2023-04-26 09:01:33.588961+00:00;23;3369;en
17978704514158095;"Goddess 

-
- bellahadid<3
-
#aesthetic #bellahadid #bellahadidstyle #bellahadidstyle #gigihadid #hadidsisters #hadidfamily #ootd #kardashian  #kendalljenner #kyliejenner  #haileybieber #justinbieber #zaynmalik #harrystyles #emrata #emratajkowski #onedirection #arianagrande #dior #vogue #chanel #stylish #victoriasecrets #versace #makeup #fashion #voguemagazine #vogueus";2023-04-25 19:12:28+00:00;2023-04-26 09:01:33.588961+00:00;7;0;en
17906293823683229;"昔からの知り合いがお家を建てたのでお邪魔しました💕
若い成功者の家には、必ずあるダウンタウン❗️
ワインのマグナム、美味しかったぁ💕
エミちゃんのケータリングもね😆

#ハイヒールモモコ #👠 #👠🍑 #CHANEL #シャネラー #グルメ #アメブロ  #YouTube #モモコ新聞 
#ホームパーティー #ワイン #マグナム #ダウンタウン";2023-04-25 06:30:00+00:00;2023-04-26 09:01:33.588961+00:00;0;3452;ja
18204178687216476;"her venus dimples🥵

JENNIE #SOLO STAGE
#YouandMe #iloveyouandme #Jennierubyjane 
#JENNIE #BornPinkJENNIE #JENNIEKIM #제니 #JENNIESOLO #Solo #Chanel #Tamburins #Hera #FirstSoju #Soonhari #JentleGarden #JentleHome #Chumchurum #GentleMonster #rapperjennie";2023-04-26 08:14:08+00:00;2023-04-26 09:01:33.588961+00:00;0;129;en
