post_id;text;publication_time;collection_time;comments;likes;language
17901218843762724;"BRB, changing our 'out of office' to this ☝️🫣🌴 Drop a comment and let us know where you're heading on holiday 🌞🖤
.
📸: #shotbythreads
⠀⠀⠀⠀⠀⠀⠀⠀⠀";2023-03-27 14:41:51+00:00;2023-03-27 15:38:00.855423+00:00;9;593;en
18207203989240684;"🔥 Design art by oxanagoralczyk 

#fashionart #fashiondesign #artwork #aestheticfashion #aesthetic #vestidonegro #chanel #altamoda #altacostura #hautecouture #pleateddress #avantgarde #victorianfashion #tailoring #sewing #coutureart";2023-03-26 19:00:12+00:00;2023-03-27 15:38:00.855423+00:00;19;0;en
18016763578495631;"Ad💕Something good is coming!

So excited to share these snaps I did with chanelofficial to celebrate the upcoming launch of the Oslo Boutique. Finally!

📸 themisspopo 

#Scandistyle #outfit #style #colorfulfashion #chanel #chanelbag #chanelclassic";2023-03-26 17:28:35+00:00;2023-03-27 15:38:00.863430+00:00;70;1781;en
18172907203273804;"James Gunn reveals she is considering a solo movie for Margot's Harley. ♦️

margotrobbieess 

#margotrobbie #banylongala #babylonmovie #babylon #barbie #barbiemovie #focus #focusmovie #focusmovieedit #margotrobbieedit #margotrobbiefan #naomilapaglia #margotrobbieedits #meganfox #angelinajolie #amberheard #scarlettjohansson #emmawatson #hot #barbie #harleyquinn #women #chanel #harleyquinnedits #harleyquinnedits #dcwomen #johnnydepp #taylorswift #lanadelrey #selenagomez #goldenglobes #goldenglobes2023";2023-03-27 10:30:11+00:00;2023-03-27 15:38:00.863430+00:00;51;2891;en
18089710516322323;"Will be wearing this denim jacket on repeat this spring frame #ItsFRAME #FRAMEfit #FRAMEdenim 🫶✨ hope you all had a nice weekend!!

Outfit details:
Jacket - frame 
Shirt & skort - zara 
Boots - marc.fisher 
Jewels - astridandmiyu 

•
•
•

#preppystyle #parisianfashion #parisianchic #miniskirt #headband #jeanjacket #denimjacket #laparisienne #preppygirl #gossipgirl #emilyinparis #schoolgirlstyle #howtobeparisian #darkacademia #springoutfitideas #springoutfit #chanel #chanelflapbag
Preppy style, faux fur, spring outfit, spring fashion, spring fashion inspo, parisian style, parisian chic, paris, denim jacket, mini skirt, school girl style, coffee lover";2023-03-27 15:17:00+00:00;2023-03-27 15:38:00.863430+00:00;68;0;en
17949385355406667;"I couldn’t not kiss you, not sleep with you, not see you.

#wallpaper #art #flyart #pinterest #carriebradshaw #samanthajones #sexandcityquotes #sexandcity #fashion #duvarkağıdı #vogue #dior #chanel #charlotte #miranda #followforfollowback #sexandthecityquotes #sexandthecitymemes #mood #quarantine #satc #reklam #reklamver #reklamyayını #advertising #advertisement";2023-03-27 10:55:55+00:00;2023-03-27 15:38:00.863430+00:00;5;1620;en
17983874698952529;"Busy Monday 💪🏼

#simplicity #seekthesimplicity #toteme #totême #totemestudio  #chanel #chanelballerina #hermes #black #allblack #whatiamwearing #investmentpieces #mystyle #neutralstyle #minimaliststyle #capsulewardrobe #minimalistwardrobe #minimalist #ａｅｓｔｈｅｔｉｃ #myminimalaesthetics";2023-03-27 12:07:01+00:00;2023-03-27 15:38:00.863430+00:00;15;289;en
18354243310051256;"I am a wholesaler of brand products, if you need to buy, ☎WhatsApp8618596966633
 (the best quality here, the cheapest price) consultation, I have many products,
such as bags, shoes, clothes, belts , Watches, etc., please contact my whatsapp,
we accept PayPal and Western Union payment, free shipping via DHL, 7-12 days to arrive,thank you for your support👜👓👞👠.";2023-03-27 12:32:11+00:00;2023-03-27 15:38:00.863430+00:00;4;606;en
17983434421953498;"Amita for The Glass Magazine - Spring 2023 Issue.

AmitaSuman_ wore the MaisonValentino ‘Embroidered Rigid Tulle Coat’ (£20,000) and the ChanelOfficial ‘Eternal N°5 Necklace’ (£8,400).";2023-03-27 15:30:32+00:00;2023-03-27 15:38:00.871423+00:00;2;0;en
18284420302110462;"Hello friend, there are many products you need🎁
High-end quality, global DHL federal free shipping
Paypal remittance is acceptable
Fast delivery after payment, ✈7-12 days arrival
Welcome your consultation. My contact information is 📞WhatsApp8615105927220";2023-03-27 11:10:34+00:00;2023-03-27 15:38:00.871423+00:00;2;310;en
