,post_id,text,language,publication_time,collection_time,comments,likes,reposts,citations
1,1640648285991075845,"RT @BasahSultan: 🅾️036
@PedjuLendir
@TjapJagoeng
@AdrieneTemok
@GDSViral
@MufdaZH
@DeHariyaPutri
@slangbasah 
@BahanPercolian
@Indo_Tjaanda…",en,2023-03-28 09:33:27+00:00,2023-03-28 09:33:46.933798+00:00,0,0,102,0
2,1640648277220794368,"RT @MekiLendirs: 🔐078
@PedjuLendir
@TjapJagoeng
@AdrieneTemok
@GDSViral
@MufdaZH
@DeHariyaPutri
@slangbasah 
@BahanPercolian
@Indo_Tjaanda…",en,2023-03-28 09:33:25+00:00,2023-03-28 09:33:46.933798+00:00,0,0,94,0
4,1640648257037561856,RT @CHNFILES: Chanhee wearing Chanel: a thread https://t.co/VI3fKwMX61,en,2023-03-28 09:33:20+00:00,2023-03-28 09:33:46.933798+00:00,0,0,300,0
9,1640648110346235906,RT @styleofrensung: chanel bracelet🤔 https://t.co/4DzwG6yXt1,en,2023-03-28 09:32:45+00:00,2023-03-28 09:33:46.933798+00:00,0,0,141,0
10,1640648075709382657,"RT @MOE__boy: 6k odds go and get the code on telegram now
👇👇👇👇👇👇

https://t.co/tdjadiA5af

https://t.co/tdjadiA5af

And if you can stake hi…",en,2023-03-28 09:32:37+00:00,2023-03-28 09:33:46.933798+00:00,0,0,1,0
11,1640648053907496960,"RT @ms___dale: Chanel 🥰😍

Gift set

70k only.

Kindly RT please. https://t.co/uvix23KiRB",en,2023-03-28 09:32:32+00:00,2023-03-28 09:33:46.933798+00:00,0,0,24,0
13,1640648023809335296,RT @fentyyangx2: i think chanel should get renjun and yangyang as their brand ambassadors 😭 https://t.co/e3teNdTEPc,en,2023-03-28 09:32:25+00:00,2023-03-28 09:33:46.933798+00:00,0,0,36,0
15,1640648016473235456,"6k odds go and get the code on telegram now
👇👇👇👇👇👇

https://t.co/tdjadiA5af

https://t.co/tdjadiA5af

And if you can stake high the Chanel is for you👆

For those that are for 1k odds above the Chanel it for you too.👆
The goal is too make profit.

Retweet for others 🔁 https://t.co/K2Hh26GVS3",en,2023-03-28 09:32:23+00:00,2023-03-28 09:33:46.933798+00:00,0,4,1,0
18,1640647902346477568,"RT @gdvisions: the host at nike live art performance asked him about comeback and album, at chanel fashion week too, the editor at dazed el…",en,2023-03-28 09:31:56+00:00,2023-03-28 09:33:46.949377+00:00,0,0,6,0
19,1640647897166548992,"RT @gdvisions: the host at nike live art performance asked him about comeback and album, at chanel fashion week too, the editor at dazed el…",en,2023-03-28 09:31:55+00:00,2023-03-28 09:33:46.949377+00:00,0,0,6,0
