post_id;text;publication_time;collection_time;comments;likes;language
17902879820742557;"I love so much my collections from rarebeauty 💗

#rarebeauty
#rareimpact 
#rarebeautybyselenagomez
#rarebeauty❤️
#rarebeautylipstick
#rarebeautymakeup
#rarebeautybyselena
#rarebeautyfoundation 
#rarebeautyliquidblush
#rarebeautysoftpinchliquidblush
#rarebeautyreview
#rarebeautycosmetics
#rarebeautylipbalm
#rarebeautycollection
#rarebeautykindwordslipstick
#rarebeautykindwords
#rarebeautyeyeshadow 
#rarebeautyconcealer 
#rarebeautyeyeliner
#rarebeautylipliner
#rarebeautymattelipstick
#rarebeautyselenagomez
#rarebeautymakeupbag 
#selenagomez
#selenamariegomez
#selena
#sephora
#sephorausa
#sephoradeutschland
#sephorahamburg";2023-03-02 11:21:40+00:00;2023-03-02 14:08:55.328483+00:00;4;0;en
18108863101296002;"Absolutely stunning✨
.
.

#makeuplooks #makeupideas #beforeandafter #makeuptutorial #hudabeauty #makeupartistsworldwide #sephora #mac #juviasplace #anastasiabeverlyhills #nars #bhcosmetics #shopmissa #morphe #inglotcosmetics #bareminerals #results #blendtherules #dallasmakeupartist #makeupartists_worldwide #blendtherules #glamwithalaa";2023-02-28 20:40:39+00:00;2023-03-02 14:08:55.328483+00:00;19;980;en
17845549664938623;The tea is HOT! Did you know that these 4 big beauty companies own the vast majority of beauty sales? Were you shocked to see that some of your favorite brands are owned by the same companies?;2023-03-02 07:37:34+00:00;2023-03-02 14:08:55.329481+00:00;7;1555;en
17947486076531533;777 💌 #greeneyes #sunkissed #grannyhair #curlyhair #prettyface #twofacedcosmetics #body #hunkemöller #pandora #jewlery #sephora #fentybeauty #naturallight #selfie;2023-02-28 17:44:23+00:00;2023-03-02 14:08:55.330465+00:00;52;3534;en
17965335578263008;"Bugün Highlighter önerisiyle geldiimm 🥳

Revolution markasının highlighter'ına bayıldım yaa çok güzel 😍

Likit highlighter mı toz highlighter mı tercih ediyorsunuz?

Sizin beğendiğiniz highlighter var mı?

Hangi marka highlighter kullanıyorsunuz?

Önerilerinizi bekliyorum 🫶🏻
.
.
.
.
pastelkozmetik makeuprevolutionturkiye lovelykosmetyki watsonsturkiye 
#gloss #lipgloss #dudakparlatıcısı #lipbalm #goldenrose #makyaj #makeup #kontür #highlighter #kiko #maybelline #sephora #avon #beaulis #makyajaşkı #makyajvideoları #makyajblog #pastel #makyajblogger #sephora #far #allık #gratis #watsons #makyajtüyoları #makyajblogu #makyajaşkı #sephoracollection #makyajseti #makeupseti #flormar";2023-03-01 16:36:15+00:00;2023-03-02 14:08:55.330465+00:00;29;44;tr
17890020728728592;"Hello, this is my February sephorauk Beauty box 💗

This time my picks are:
esteelauderuk Advance night repair Serum 7ml
goldfadenmd  Pure start gentle detoxfying facial cleanser 20ml
filorga_uk Optm-eyes lotion 20ml
jurlique_uk Signature moisturising Cream 10ml
gatineau_skincare i chose another product but sent me instead x 2 Gatineau Collagen expert smoothing eye pads

Not much new products to pick this month, happy to see the estee lauder serum , looking forward to try it.
What you think of my beauty box picks?

#sephora #sephorauk #mysephorabox #sephorabeautybox #minis #travelsizeskincare #beautybox";2023-03-01 16:55:33+00:00;2023-03-02 14:08:55.331468+00:00;8;38;en
18208172665237522;"imane__htb & imanehglams 💫

#caricature #caricatureartist #caricatureart #portrait #portaitphotography #portraitcartoon #cartoon #illustration #dessinnumerique #tablettegraphique #graphisme #graphiste #lyon #lyonnaise #majeup #makeupaddict #maquilleuse #maccosmeticsfrance #hudabeauty #sephora #makeupforever #tartecosmetics #toofacedcosmetics #maquillagemariee #maquillageinvitée #majeupartist";2023-03-01 20:28:53+00:00;2023-03-02 14:08:55.331468+00:00;2;38;fr
18356328721015250;"✨ diorbeauty Simple Sunday #MOTD ✨

✨ Glow Face Palette 002 Glitz
✨ Rosy Glow Blush in 004 Coral
✨ Lip Glow Oil in 004 Coral
.
.
.
#dior #diorbeauty #highlighter #peach #coral #shimmer #sparkle #glow #glowymakeup #luxury #luxurybeauty #luxurymakeup #makeup #beauty #beautybloggers #blush  #discoverunder20k #sephora #diorbackstage #highlighter #diorbeautylovers #lipoil #lipgloss #peachaesthetic #ａｅｓｔｈｅｔｉｃ 
Dior Makeup Luxury Blush Highlighter Gloss";2023-02-26 15:00:44+00:00;2023-03-02 14:08:55.332465+00:00;17;824;en
17847453872918070;"rarebeauty My Rare beauty collection 🤍

What is your favorites?

#rarebeauty
#rareimpact 
#rarebeautybyselenagomez
#rarebeauty❤️
#rarebeautylipstick
#rarebeautymakeup
#rarebeautybyselena
#rarebeautyfoundation 
#rarebeautyliquidblush
#rarebeautysoftpinchliquidblush
#rarebeautyreview
#rarebeautycosmetics
#rarebeautylipbalm
#rarebeautycollection
#rarebeautykindwordslipstick
#rarebeautykindwords
#rarebeautyeyeshadow 
#rarebeautyconcealer 
#rarebeautyeyeliner
#rarebeautylipliner
#rarebeautymattelipstick
#rarebeautyeyeshadowpalette
#rarebeautyselenagomez
#selenagomez
#selenamariegomez
#selena
#sephora
#sephorausa
#sephoradeutschland
#sephorahamburg";2023-02-18 10:30:53+00:00;2023-03-02 14:08:55.333457+00:00;10;0;en
17955206075298488;"[📸| O príncipe nos atualizou o weibo ❤

.
.
.
#xukai #xukai许凯 #fallingintoyoursmile #arsenalmilitaryacademy #cdrama #brazil #dorama #chineseboy #dorameiras #xukaisoso #embassador #xukaiweibo #ancientlovepoetry #chinese #chines #china #samsonite #sephora #sosoxukai #thelegends #bailu #chengxiao #yangmi #sheandherperfecthusband";2023-02-28 19:48:33+00:00;2023-03-02 14:08:55.333457+00:00;7;644;en
