post_id;text;publication_time;collection_time;comments;likes;language
18108863101296002;"Absolutely stunning✨
.
.

#makeuplooks #makeupideas #beforeandafter #makeuptutorial #hudabeauty #makeupartistsworldwide #sephora #mac #juviasplace #anastasiabeverlyhills #nars #bhcosmetics #shopmissa #morphe #inglotcosmetics #bareminerals #results #blendtherules #dallasmakeupartist #makeupartists_worldwide #blendtherules #glamwithalaa";2023-02-28 20:40:39+00:00;2023-03-03 10:49:21.595496+00:00;22;1201;en
17973798661959293;"¡Buenas noches! ✨

Hoy os traigo un post con mis productos más utilizados en estos días 🥰 con nuevos favoritos y algún producto que me ha dejado un poco meh 🥺 (no siempre me puede gustar todo 🤭)

Los productos en cuestión son los siguientes: 

✨Base Eaze Drop✨ fentybeauty : ya sabéis que me encanta esta base porque aporta una cobertura ligera modulable y un efecto “blur” muy bonito 🥰 Queda la piel preciosa con ella (eso si, yo solo puedo utilizarla cuando tengo la piel muy bien porque sino me remarca hasta el alma 💀) 

✨Corrector True Skin✨ catrice.cosmetics : es un viejo conocido por aquí 😅 Ya sabéis que me encanta su cobertura y lo bonita que deja la zona de la ojera, no cuartea nada. También me va genial para tapar imperfecciones 🫶🏻

✨Máscara Pure Volume✨ catrice.cosmetics : Esta máscara de pestañas me la regaló eme.skincare cuando fui a visitarla porque no le gustaba y yo tengo que decir que tampoco me apasiona 🫠 No noto ninguna diferencia respecto a otras que he tenido, me gustan infinitamente mas la Lift up de Catrice y la Double Trouble de Essence 💘 No es una mala mascara de pestañas pero supongo que esperaba más 🥺

✨Colorete Soft Pinch✨ rarebeauty : lo habeis visto por aqui trillones de veces, me encanta esta formula 😍 NECESITO los tonos Hope y Encourage, por favor sephora reponedlos de una vez 😭😭😭😭😭

✨Labial mate 101✨ deliplus_beauty : es un nude suuuuper bonito y muy favorecedor. Estoy enamorada y el cambio de packaging con la tapa imantada me parece todo un acierto 💖 

Contadme, ¿habéis probado alguno? ¿Cuáles os llaman la atención? ¡Os leo! 🙈

#makeup #makeupfavourites #makeuproutine #eazedrop #fentybeauty #catrice #purevolume #trueskincatrice #rarebeauty #softpinch #mercadona #deliplus #sephora #sephoraspain #primor #druni #favoritosmercadona";2023-02-24 19:30:00+00:00;2023-03-03 10:49:21.597614+00:00;221;503;es
17997799147728332;"Selammm🌸

Sephora gloss kullananlar yorumlara bekleniyorsunuz 🥰

Beğenip takip etmeyi unutmayın.

#lip #lipgloss #gloss #liptint #lipbalm #redlips #lipstick #pinkstick #dudakdolgusu #dudakrenklendirme #dudakkalemi #dudak #dudakvitamini #dudakbakımı #dudakbalmı #dudakbüyütme #sephora #sephoraturkiye #sephoragloss #dudakmakyajı #dudakmakyaji #günlükmakyaj #tint #doğalmakyaj";2023-03-03 08:26:08+00:00;2023-03-03 10:49:21.598609+00:00;6;85;tr
17978454428051718;"Swatches de la palette Pro Pigment Volume 3 de norvinacosmetics 🧡
Une très bonne pigmentation 😍

#norvinacosmetics #anastasiabeverlyhills anastasiabeverlyhills #norvinapalette #norvina norvina #norvinavolume3 #norvinacollection #norvinavol3 #swatches #swatch #swatcheyeshadow #swatchpalette #eyeshadowpalettecollection #eyeshadowpalette #makeupcollection #makeupaddict #makeuplover #makeuplovers #makeupaddiction #instabeauty #instamakeup #sephora sephora #sephorafrance sephorafrance";2023-03-02 16:45:48+00:00;2023-03-03 10:49:21.599606+00:00;1;708;en
18022839631495044;full glam to sit in my dressing gown & I’d have it no other way🧖🏼‍♀️;2023-03-01 19:25:08+00:00;2023-03-03 10:49:21.600604+00:00;56;1680;en
17978926463057867;"Eyes on point. 🤍✨
.
.
.
.
.
.
#makeup #makeupartist #makeuplover #makeupaddict #makeuplook #makeuplooks #glow #glowmakeup #glowup #eyes #eyeshadow #eyemakeup #brows #browmakeup #hudabeauty #huda #sephora #sephoracollection #nyx #nyxcosmetics #nyxprofessionalmakeup #mac #maccosmetics #macmakeup #bobbibrown #bobbibrowncosmetics #lorealprofessionnel #loreal #whiteeyeliner";2023-03-02 15:21:13+00:00;2023-03-03 10:49:21.601601+00:00;6;0;en
17971676690134671;"Selam kızlar. 💕

Meşhur Dior allığı bilmeyeniniz yoktur. 😻Tam bi Barbie allığı. Herkes çok beğeniyor yapısı kadife gibi ve pigmenti de çok iyi. 😍🤌🏻

Piyasada ona en çok benzeyen allık ise Dora Joy. 💕🫶🏻 Yapıları, renkleri, hatta tasarımlarına kadar birebir aynı. 

Ayrıca Trendyol’da en çok satanlar listesinde ilk sırada. 😜💕

Siz bu allığı kullandınız mı? Başkalarına tavsiye eder misiniz? 😍🫶🏻 Yorumlarda buluşalım. 🤩💕

Ayrıca görmesini istediğin arkadaşına mutlaka gönder ve bu tür içeriklerle ilgileniyorsan beni mutlaka takip et. 😻✨

.
.
.
.
.
.
.
.
.
.

#dior #diormakeup #diorbeauty #diorblush #dorajoy #allık #allik #blush #blushpink #blusher #blushes #sephora #sephoraturkiye #yüzmakyajı #kalıcıoje #kalıcımakyaj #kalıcıeyeliner #kalicimakyaj #rimel #eyeliner #maskara #makyajvideolari #makyajçantası #makyajaşkı #makyajmalzemeleri #makyajtüyoları #makyajblog #makyajblogger #muadil #gelinmakyajı";2023-03-02 15:59:29+00:00;2023-03-03 10:49:21.602596+00:00;25;168;tr
17994679795651729;"Beauty from New-York 🍬🍬

Makeup selinkbeauty 
-
-
-

#makeup #beauty #makeupartist #thonon #cluses #mua #photography #beautiful #makeuptutorial #instagood #likeforlike #sephora #likeforlikes #instagram #follow #photooftheday #geneve #annecy #annemasse #makeuplover #makeupartistannemasse #maccosmestics #geneva #picoftheday #hair #evian #makeupaddict #saintjulienengenevois #maquiagem #bhfyp";2023-03-02 18:47:30+00:00;2023-03-03 10:49:21.603592+00:00;9;150;en
17947486076531533;777 💌 #greeneyes #sunkissed #grannyhair #curlyhair #prettyface #twofacedcosmetics #body #hunkemöller #pandora #jewlery #sephora #fentybeauty #naturallight #selfie;2023-02-28 17:44:23+00:00;2023-03-03 10:49:21.604589+00:00;55;3723;en
17969162909052772;"Lip tutorials💋 1 or 2?❤️
•
———————————————————⁣
Follow foreverbeautieofficial for more💁
Follow foreverbeautieofficial for more💁
Follow foreverbeautieofficial for more💁
———————————————————⁣
•⁣ 
Repost credit: Unknown. Dm me for credit/removal!
•⁣
#makeupworld #makeupholic #makeuptime #makeuponfleek #makeupaddict #makeuptips #makeupjunkie #love #makeupquotes #ilovemakeup #beauty #instagood #instamood #beautyquotes #foreverbeauty #hairgoals #makeuptransformations #makeupblog #sephora #happy #makeup #makeuptricks #vanitymakeup #eyeliner #affordablemakeup #makeuptutorial #makeupinspiration #makeuptutorial";2023-03-02 11:16:55+00:00;2023-03-03 10:49:21.605586+00:00;4;4285;en
