post_id;text;publication_time;collection_time;comments;likes;language
17912723969710652;Have you seen this product alternative going viral on TikTok? Our team put it to the test to see if it’s worth the switch! What do you think?;2023-03-24 03:39:57+00:00;2023-03-27 12:27:05.737233+00:00;16;1135;en
18023189506502570;"rarebeauty My light pink cute collection from Rare Beauty 💗

Rare Beauty by Selena Gomez 

-Makeup & Pencil Case

-Crossbody Makeup Bag

-Puffy Makeup Bag 

#rarebeauty
#rarebeautybyselenagomez
#rarebeautygoesglobal
#rarebeautymakeupbag 
#rarebeautymakeup
#rarebeautyhighlighter 
#rarebeautycreamblush 
#rarebeautyhighlight 
#rarebeauty❤️
#rarebeautyselenagomez
#rarebeautybyselena
#rarebeautyroutine 
#rarebeautyreview
#rarebeautycosmetics
#rarebeautycollection 
#rarebeautys 
#selenagomez
#selenagómez
#selenagomezfan
#selenator
#selenators
#selenacosmetics
#sephora
#sephoradeutschland
#sephoramakeup 
#sephoracosmetics
#sephorahamburg
#sephorausa 
#cosmetics";2023-03-27 11:50:00+00:00;2023-03-27 12:27:05.737233+00:00;3;0;en
18002565088722371;"rarebeauty my really favorite pretty highlighter 🤍

Rare Beauty by Selena Gomez
-Positive Light Silky Touch Highlighter

・Enlighten - cool champagne
・Exhilarate - champagne gold
・Flaunt - true gold
・Mesmerize - rose bronze

-Positive Light Precision Highlighter Brush

#rarebeauty
#rarebeautybyselenagomez
#rarebeautyblush
#rarebeauty❤️
#rarebeautyhighlighter
#rarebeautymakeup
#rarebeautybyselena
#rarebeautyselenagomez
#rarebeautyreview
#rarebeautycosmetics
#rarebeautycollection
#rarebeautypositivelight
#rarebeautypositivelightsilkytouchhighlighter
#rarebeautybrush
#rarebeautybrushes
#rarebeautygiftset
#rarebeautyroutine 
#selenagomez
#selena
#selenator 
#selenamariegomez
#selenatorsloveselena
#selenacosmetics
#selenagomezfan
#selenarare 
#sephora
#sephorausa
#sephoradeutschland
#sephorahamburg
#sephoracosmetics";2023-03-26 11:50:00+00:00;2023-03-27 12:27:05.737233+00:00;15;0;en
18179871247258092;"✨ rarebeauty ✨

✨Some of my Rare Beauty cheek essentials…
.
.
.
#rarebeauty #selenagomez #highlighter #glow #pinkaesthetic #goldaesthetic #swatches #glowymakeup #gold #ａｅｓｔｈｅｔｉｃ #blush #liquidblush #shimmer #sephora #spacenk #pink #peach #makeup #beauty #discoverunder20k #trendingbeauty 
| Rare Beauty Selena Gomez Highlighter Shimmer Glow Sephora Makeup Glowy Blush |";2023-03-23 17:16:08+00:00;2023-03-27 12:27:05.742345+00:00;27;849;en
17970480704241731;"What is your favorite kayali fragrance? I’m torn between Eden Juicy Apple and the NEW Yum Pistachio Gelato. Definitely going to be wearing them combined. 🤤🍨💚😋

I shared some thoughts on yesterdays post on this new juice. 💚🍨💚

🍨 kayali monakattan hudabeautyshop hudabeauty sephora huda 💚
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#kayali #kayalife #kayalilaunch #kayalifragrance #kayaliyumpistachiogelato #kayaliyum #kayaliyumpistachiogelato33 #monakattan #huda #hudabeauty #hudabeautyshop #hudakattan #hudakattanfans #kattansisters #sephora #sephorahaul #sephorausa #sephorauk #perfume #perfumelovers #perfumeaddict #fragrance #fragrances #fragrancelover #fragranceaddict #fragranceoftheday #fragrancereviews #reviews #picoftheday #picofthedays 💚🍨";2023-03-26 14:12:15+00:00;2023-03-27 12:27:05.742345+00:00;18;134;en
17846913731953252;"Actors who are ageing like fine wine 🍷
•

📸Credits: the_goodfilms 💗";2023-03-25 15:58:28+00:00;2023-03-27 12:27:05.742345+00:00;9;1581;en
17847898043952990;It’s National Fragrance Day and we want you to smell the savings! We’ve added perfume alternatives to the app to help you save BIG. Have a fragrance alternative you want to submit? Download the Brandefy App using the link in our bio to submit a review, see product comparisons, and ask questions in our community section!;2023-03-22 04:21:25+00:00;2023-03-27 12:27:05.742345+00:00;34;3243;en
17990619571872593;SAVE FOR LATER ✨;2023-03-26 18:36:51+00:00;2023-03-27 12:27:05.742345+00:00;1;184;de
18170503810280973;"🍦Yummiest scent from KAYALI 🍨! Was super excited to receive this Yum Pistachio Gelato 33 from kayali and skeepers_us 💚 TYSM!😘

Key Notes: 
Pistachio Gelato
Hazelnut 
Sweet Rum 
Whipped Cream 
Marshmallow 
Cotton Candy 

One spray is enough to experience this yummy fragrance. Tbh I didn’t know what to expect from a ‘Pistachio’ scent, but this one is a keeper! It’s delicious but not overly sweet, dries down to a fresh powdery scent with a hint of the sweetness. I don’t usually go for sweet scents but this has the right balance and not overpowering. Too strong scents trigger my rhinitis but not this. 

Beautiful unique scent added to my small fragrance collection. Recently bought a perfume at Sephora (famous brand) but then my husband said I smell like everyone else at the mall🤣. Let’s just say I won’t smell like majority of the people when I wear this perfume. It’s been 9 hours since i sprayed it on me and i can still smell it although faint now. I could see myself wearing this day or night and perfect this spring!

What is your fave fragrance this spring?🌸
•
•
•
gifted without obligation to post
#kayali #fragrance #kayalifragrance #hudabeauty #skeepersfamily #skeepers #pistachiogelato #eaudeparfum #ａｅｓｔｈｅｔｉｃ #beauty #scent #perfume #sephora";2023-03-27 06:56:03+00:00;2023-03-27 12:27:05.742345+00:00;19;62;en
17996791588740529;"Happy Thursday with some beauties 🥰💖

✨charlottetilbury Magic Serum Crystal Elixir (pr)
✨theouai Leave - in Conditioner (pr)
✨gisou Honey Infused Face Oil (pr)
✨kayali Vanilla 28
✨lancomeofficial Absolue Serum (pr)
✨chanel.beauty Les Beiges Healthy Glow Bronzing Cream

How is it only Thursday?!! Who else is ready for the weekend? 😍🌸";2023-03-23 17:29:34+00:00;2023-03-27 12:27:05.742345+00:00;49;667;en
17887226303801441;"Nowości w szafie toofaced to sześć prasowanych różów do policzków Cloud Crush. Opakowania są cukierkowe (trochę vibe Bridgertonów) i z lusterkiem. Sama formuła produktu jest miękka, ale dość sucha, pigmentacja jest całkiem niezła. Kolor Candy Clouds wygląda na odpowiednik kultowego już Diora 😎 
Cena w sephorapolska to 149zł.
Jak Wam się podobają? 🤔 
#beautynewspl #toofaced #cloudcrush #rozdopoliczkow #blush #róż #sephorapolska #sephora #nowoscikosmetyczne #nowosc #makijaz #zakupy";2023-03-26 08:47:38+00:00;2023-03-27 12:27:05.745087+00:00;12;1227;pl
18207562564236939;"Happy #pinkwednesday 💕🌸🎀🍬

—
#makeup #beauty #makeuplover #flatlay #photography #natural #sephora #ulta #glowy #glowymakeup #shimmer #glitter #naturalglam #softglam #minimalmakeup #easymakeup #makeupaddiction #makeupartist #makeupflatlay #beautybloggers #discoverunder10k #explorepage #igbeauty #aesthetic #makeupcollection #summerfridays #rarebeauty #charlottetilbury";2023-03-22 14:22:52+00:00;2023-03-27 12:27:05.745087+00:00;18;495;en
17976587809983982;"Girly things💕

•Florist ellisbrooklyn 
•Cheirosa 68 soldejaneiro 
•Pink sugar lip balm summerfridays 
•Cherry lip balm summerfridays 

Absolutely been loving the new release from ellisbrooklyn this fragrance is the epitome of Spring, just stunning. 🌸

layered the perfume with cheirosa 68 and it paired so well, it had me smelling amazing.✨

Also, these lip balms have become my absolute favorites, these two were just released and my gosh the pink sugar one the tint is very light but it smells like cotton candy butter cream 😂 soooo good. 
The cherry one 🍒 has a beautiful red tint and it also smells amazing.✨ 

Have you tried any of these?✨

All products purchased sephora";2023-03-26 18:23:44+00:00;2023-03-27 12:27:05.745087+00:00;20;0;en
17855147132934193;"toofaced collection 🍫🌸☁️
♡ Cocoa bold lipstick in shade “Milkshake”🧋
♡ Mini born this way concealer in shade “Snow” ❄️
♡ Cloud crush blush in shade “Golden hour” ☀️
.
.
.
.
.
.
.
.
.
.
 #makeup #memyselfandmakeup #makeuplover #makeupaddict #makeupaddiction #makeupobsessed #makeupobsession #makeupcollection #makeupcollector #wakeupandmakeup #makeupvideos #makeupvideo #makeupjunkie #makeuplove #highendmakeup #sephora #sephoraitalia #toofaced #toofacedcosmetics #toofacedmakeup #toofacedblush #toofacedlipstick #toofacedconcealer";2023-03-26 16:26:05+00:00;2023-03-27 12:27:05.745087+00:00;3;65;en
17969535470331052;"Todays #makeupoftheday - using some new and old favorites ✨ swipe ➡️ for the full look! Do you like posts like this? 👀

. 

.

.

.

.

.

#over40beauty #whatsonmyvanity #vanityaesthetics #girlaesthetic #beigeaddiction #helloaesthete #Feedaesthetic #pinterestinspo #warmcore #skinalgo #thealglow #postitfortheaesthetics #naturalmakeup #glowingskin #dryskincare #makeupforbeginners #vanitiesofig #wearerare #dryskincareroutine #everydaymakeup #diorbeautylovers #rarebeautybyselenagomez #hypebaeaesthetics #rarebeauty #ａｅｓｔｈｅｔｉｃ #aesthetistt #rarebeautybyselenagomez #makeupover40 #makeupinstagram";2023-03-25 14:38:12+00:00;2023-03-27 12:27:05.745087+00:00;51;288;en
17919731138616500;SAVE FOR LATER ✨;2023-03-26 03:57:19+00:00;2023-03-27 12:27:05.745087+00:00;1;541;de
17975981549143047;"Fenty 
fentybeauty 

blueberry citrus 
velvet bulgarian rose 
they’ll shine together 

Rihanna, the best smelling celebrity. It’s no wonder she hit it out of the park with her own perfume. This is a sultry, warm, addictive fragrance created entirely of heart notes. The Fenty website lists magnolia, musk, tangerine, and Bulgarian rose as the primary notes. And there’s blueberry, geranium, coconut, patchouli, and vanilla coming together to create something - described by master perfumer Jacques Cavalier - as alluring and dynamic as Rihanna herself. 

If it rained Fenty I wouldn’t stand under my umbrella. 

#perfume #fragrance #fenty #fentybeauty #rihanna #fentyparfum #fentyperfume #celebrityperfume #crueltyfreebeauty #crueltyfreeperfume #scent #scented #sephora";2023-03-27 10:16:49+00:00;2023-03-27 12:27:05.745087+00:00;8;48;en
17876705609844192;"Hello je partage avec vous ma petite routine skincare du soir

💙 Gelée Micellaire Démaquillante Ultra-Douce sephorafrance 

🌷 Rose Deep Hydration Facial Toner nettoie la peau et élimine les impuretés freshbeauty 

💗 Un soin contour des yeux qui défatigue le regard et lutte contre les cernes, les poches sous les yeux et les signes de l'âge sephorafrance 

✨ Sérum Advanced Night Repair pour réduire de manière significative l'apparence de chaque signe visible de l'âge esteelauder 

#skincare #skincareroutine #skincareaddict #skincareaddiction #skincareaddicts #skincareaddicted #soinvisage #serum #eauderose #fresh #freshskincare #sephora #sephoracollection #sephorafrance #sephoraaddict #sephoragold";2023-03-26 17:20:20+00:00;2023-03-27 12:27:05.745087+00:00;2;265;fr
18275750200140553;"I been testing out these blushes for a little bit now and I love them.  They’re so pretty narsissist rising star cheek palette 

.
.

#makeup #lookoftheday #makeuplook #makeupaddict #makeupjunkie #motd #eyeshadow #skincare #skincareroutine #skincaretips #makeuplover #bridalmakeup #eyeshadow #creamtopowder  #eyeshadowtutorial #eyeshadows #eyeshadowpalette  #eyeshadowswatches #swatches #makeupartistsworldwide #makeuplook #makeupoftheday #makeupofinstagram #sephora #wakeupandmakeup #fallmakeup #indiemakeuplover #panthatpalette #blush #blushpink #blushon #blushkit";2023-03-27 04:37:28+00:00;2023-03-27 12:27:05.745087+00:00;0;28;en
